source_id,source_name,source_type,business_domain,product_area,system_owner,data_owner,contains_pii,contains_financial_data,contains_regulatory_data,contains_collateral_data,contains_ai_training_data,data_sensitivity,source_trust_level,governance_notes
SRC-001,Commercial Loan Origination System,Application System,Commercial Credit & Leasing Origination,Commercial Loans,Credit Technology,Commercial Lending Operations,Yes,Yes,Yes,Yes,No,High,High,System of record for commercial loan applications borrower data guarantor data collateral and underwriting workflow data
SRC-002,Lease Origination Platform,Application System,Commercial Credit & Leasing Origination,Commercial Leases,Leasing Platform Team,Equipment Finance Operations,Yes,Yes,Possible,Yes,No,High,High,System of record for equipment lease applications asset details borrower data guarantor data and lease package status
SRC-003,Borrower Document Repository,Document Store,Commercial Credit & Leasing Origination,Commercial Credit Intake,Enterprise Content Management,Credit Operations,Yes,Yes,Possible,Yes,No,High,Medium,Stores uploaded borrower financial statements tax returns rent rolls appraisals lease schedules insurance documents and supporting credit package materials
SRC-004,Guarantor Profile Repository,Master Data,Commercial Credit & Leasing Origination,Guarantor Review,Customer Master Data Team,Commercial Lending Operations,Yes,Yes,Possible,No,No,High,Medium,Contains guarantor identity ownership financial condition and relationship information requiring strict access and classification controls
SRC-005,Collateral and Asset Registry,Reference Data,Commercial Credit & Leasing Origination,Collateral Review,Collateral Systems Team,Credit Risk Management,Possible,Yes,Possible,Yes,No,High,Medium,Contains collateral property equipment asset valuation lien insurance and location information used for underwriting and monitoring
SRC-006,Financial Statement Spreading System,Analytical System,Commercial Credit & Leasing Origination,Underwriting Support,Credit Risk Technology,Credit Risk Management,Possible,Yes,Possible,No,No,High,Medium,Contains normalized borrower financial statement data ratios cash flow metrics and underwriting support calculations
SRC-007,DF1071 Reporting Dataset,Regulatory Dataset,Commercial Credit & Leasing Origination,Small Business Lending,Regulatory Reporting Technology,Compliance and Regulatory Reporting,Yes,Yes,Yes,No,No,High,High,Contains small business lending data elements used for Section 1071 reporting readiness validation and audit review
SRC-008,AML KYC Screening Platform,Compliance System,Commercial Credit & Leasing Origination,Borrower Onboarding,FCCM Platform Team,Financial Crime Compliance,Yes,Possible,Yes,No,No,High,High,Contains sanctions screening beneficial ownership KYC and AML review indicators used by compliance teams
SRC-009,Snowflake Commercial Credit Data Mart,Cloud Data Platform,Commercial Credit & Leasing Origination,Data Platform Governance,Cloud Data Platform Team,Enterprise Data Governance,Yes,Yes,Yes,Yes,No,High,Medium,Curated governed data product layer supporting analytics reporting AI intake review and control evidence
SRC-010,AI Governance Review Log,Governance Evidence Store,Commercial Credit & Leasing Origination,AI Governance,AI Governance Office,Enterprise Risk and Data Governance,Possible,Possible,Yes,Possible,No,High,High,Stores use case review decisions control requirements risk ratings approvals exceptions and audit evidence
