control_id,control_name,control_domain,applicable_product_area,regulatory_driver,risk_addressed,control_type,human_review_required,evidence_required,control_owner,notes
CTRL-001,AI Use Case Intake Review,AI Governance,All Commercial Credit Products,Internal AI Governance Policy,Unapproved or poorly scoped AI use in credit workflows,Preventive,Yes,Approved intake record,AI Governance Office,All AI use cases must be reviewed before production use
CTRL-002,Human Credit Decision Ownership,Credit Risk Governance,Commercial Loans and Leases,ECOA Fair Lending Governance,AI improperly influencing or making final credit decisions,Preventive,Yes,Underwriter approval record,Credit Risk Management,AI may assist but final approval denial pricing and exception decisions remain human owned
CTRL-003,Borrower and Guarantor PII Classification,Data Governance,Borrower Onboarding and Guarantor Review,Privacy and Data Protection Policy,Exposure of sensitive personal or financial information,Detective,Yes,Data classification record,Enterprise Data Governance,PII and sensitive financial data must be classified before AI processing
CTRL-004,DF1071 Applicability Check,Regulatory Reporting,Small Business Lending,Section 1071 DF1071,Incomplete or inaccurate small business lending reporting data,Preventive,Yes,DF1071 applicability assessment,Compliance and Regulatory Reporting,Used when small business lending data collection or reporting may apply
CTRL-005,AML KYC Screening Review,Financial Crime Compliance,Borrower Onboarding,BSA AML KYC Policy,Financial crime compliance gaps in borrower onboarding,Detective,Yes,AML KYC review record,Financial Crime Compliance,AI summaries cannot replace compliance analyst review
CTRL-006,Collateral Data Validation,Credit Risk Governance,CRE Loans Equipment Finance and Leases,Internal Credit Policy,Incorrect collateral asset valuation or missing collateral evidence,Detective,Yes,Collateral review evidence,Credit Risk Management,Collateral property asset lien and insurance data must be verified
CTRL-007,Snowflake Data Product Classification,Cloud Data Governance,Data Platform Governance,Enterprise Data Governance Policy,Unclassified sensitive data used by analytics or AI workflows,Preventive,Yes,Data product classification record,Cloud Data Platform Team,Governed credit data products require ownership classification and access rules
CTRL-008,AI Output Review and Attestation,AI Governance,Underwriting Support,Internal AI Governance Policy,AI output used without review or context,Detective,Yes,Reviewer attestation,AI Governance Office,Reviewer must attest that AI output was reviewed and not blindly accepted
CTRL-009,Audit Evidence Retention,Operational Risk,All Commercial Credit Products,Audit and Model Risk Governance,Insufficient evidence for approvals exceptions and control decisions,Corrective,Yes,Evidence log entry,Enterprise Risk Management,Governance decisions must be retained for audit and monitoring
CTRL-010,Access Control for Sensitive Credit Data,Security and Data Governance,All Commercial Credit Products,Information Security Policy,Unauthorized access to borrower guarantor financial or collateral data,Preventive,Yes,Access control evidence,Information Security and Data Governance,Role based access should be applied to sensitive commercial credit data
